DN,area_ha
"12",0.061
"4",0.061
"12",0.061
"12",0.061
"16",0.061
"4",0.121
"16",0.061
"4",0.485
"16",0.121
"13",0.061
"1",0.121
"4",0.061
"9",0.061
"16",0.061
"4",0.121
"9",2.120
"12",0.121
"4",4.179
"12",0.061
"4",0.606
"4",0.061
"16",0.121
"9",0.121
"4",0.182
"1",0.121
"12",0.061
"4",0.121
"1",0.363
"4",0.061
"1",0.182
"4",3.150
"9",0.121
"4",0.061
"16",0.121
"3",0.121
"16",0.061
"16",0.182
"4",0.242
"4",0.727
"9",0.061
"11",0.121
"12",0.121
"16",4.604
"4",1.938
"16",0.121
"12",0.061
"4",0.061
"12",0.061
"12",0.061
"12",0.363
"11",0.061
"16",0.061
"16",0.061
"9",0.121
"16",0.121
"1",0.182
"16",0.121
"4",0.121
"12",0.121
"9",0.121
"4",0.061
"4",0.061
"16",0.061
"1",0.545
"1",0.121
"11",0.121
"9",0.242
"9",0.061
"11",0.121
"13",0.424
"4",0.061
"4",0.061
"4",0.061
"4",0.061
"1",0.061
"4",0.424
"4",0.061
"16",0.121
"16",0.061
"4",0.303
"11",0.061
"4",0.061
"9",0.061
"1",0.121
"16",0.121
"16",0.121
"16",0.061
"4",0.061
"11",0.061
"12",3.392
"9",11.449
"9",1.333
"4",0.182
"16",6.300
"4",0.485
"16",1.212
"4",0.727
"12",0.061
"1",0.121
"9",0.061
"9",0.121
"12",0.121
"12",5.149
"4",0.363
"16",0.182
"16",0.909
"16",0.121
"9",0.121
"11",0.182
"12",0.121
"4",0.121
"1",0.303
"16",0.121
"4",0.061
"9",0.061
"9",0.121
"4",18.353
"1",0.061
"16",0.121
"12",1.696
"4",0.121
"4",0.061
"11",0.061
"1",0.121
"12",0.061
"4",0.363
"9",0.363
"9",0.061
"1",0.363
"16",0.182
"16",0.121
"4",0.909
"11",0.303
"11",0.121
"4",0.121
"9",0.061
"16",0.121
"11",0.121
"16",0.061
"16",0.182
"9",0.363
"11",0.303
"1",0.121
"16",1.878
"9",0.061
"9",0.061
"12",0.182
"16",0.182
"4",0.061
"4",0.061
"4",0.242
"16",0.061
"11",0.061
"4",0.242
"16",0.121
"1",0.182
"9",0.666
"9",0.061
"9",0.303
"1",6.239
"16",0.363
"4",0.303
"4",0.121
"13",0.061
"4",0.061
"11",0.061
"9",0.121
"9",0.121
"11",0.182
"11",0.061
"12",0.303
"3",0.121
"1",0.121
"3",0.061
"16",0.121
"4",0.242
"3",0.121
"1",0.121
"4",0.061
"12",0.061
"12",0.121
"9",0.061
"16",0.121
"12",0.121
"12",0.121
"12",0.061
"4",0.242
"9",0.121
"4",1.212
"16",2.302
"12",4.422
"4",4.725
"16",0.424
"4",0.182
"16",0.363
"11",0.242
"9",0.121
"9",0.061
"11",0.182
"13",0.121
"12",0.061
"4",0.121
"12",0.242
"4",0.121
"9",0.061
"11",0.969
"9",0.061
"4",0.545
"1",0.727
"4",0.121
"4",0.242
"4",0.061
"4",0.666
"9",1.151
"1",0.061
"9",0.061
"1",1.817
"12",0.121
